pexp,lnpexp,lnpincome,lnpproper,lnedu,lnage,mari_dum,region1,region2,Prendowinsurance
12800,9.45720045,9.798127037,12.76568843,2.48490665,3.891820298,0,0,0,1
2959.999999,7.992944547,8.342839804,11.51292546,2.140066163,4.025351691,0,0,0,1
18990,9.851667804,10.49127422,11.62625415,2.48490665,3.258096538,0,1,0,1
7639.999999,8.941152882,10.1266311,12.54610995,2.708050201,3.295836866,0,0,0,1
1800,7.495541944,7.726065602,10.05763823,2.079441542,3.970291914,0,1,0,1
3526.666668,8.168108417,8.804875264,10.19116962,2.197224577,3.091042453,0,0,1,1
7920.000002,8.977146485,9.61580548,11.28978191,2.772588722,3.17805383,0,0,1,1
2220,7.705262475,7.824046011,7.60090246,2.48490665,3.17805383,0,0,1,1
3053.333333,8.023989169,11.00209984,11.44393259,2.590267165,3.988984047,0,0,0,1
3579.999999,8.183118079,8.476371197,11.35040654,2.48490665,2.833213344,0,1,0,1
5453.333331,8.603982321,8.804875264,9.721165996,2.367123614,4.007333185,0,0,1,1
5173.333333,8.551272505,8.549983014,9.210340372,2.302585093,0.693147181,0,0,1,1
5999.999999,8.699514748,9.210340372,11.28978191,1.945910149,2.995732274,0,0,0,1
1340,7.200424893,7.824046011,10.1266311,2.251291799,3.295836866,1,0,1,1
4300.000001,8.366370302,8.207038263,11.23848862,2.302585093,3.583518938,1,0,1,1
3865,8.259716961,8.955448122,12.07254125,2.277267285,4.060443011,1,0,0,1
4050,8.30647216,8.9226583,11.37939407,2.756840365,4.219507705,1,0,0,1
1816.666667,7.504758599,8.374092348,11.10746036,2.602689685,4.17438727,1,0,0,1
3200.000001,8.070906089,9.364491052,9.721165996,2.319114395,3.850147602,1,0,0,1
2244.444444,7.716213306,7.96862724,11.39514243,2.662587827,4.189654742,1,0,0,1
4094.999999,8.317521996,9.159047078,12.07254125,2.602689685,4.043051268,1,0,0,1
9266.666667,9.134179011,9.1413475,12.02375109,2.302585093,3.931825633,1,0,0,1
