pexp,lnpexp,lnpincome,lnpproper,lnedu,lnage,mari_dum,region1,region2,pension
1319.489238,7.185,8.006,6.62,0,2.996,0,0,1,0
1565.561775,7.356,8.006,5.116,0,3.296,0,0,1,0
796.319112,6.68,6.908,7.601,0,4.19,0,0,1,0
819.750479,6.709,5.298,8.517,0,3.738,0,0,1,0
2312.304673,7.746,7.889,9.21,0,3.892,0,0,0,0
1469.974011,7.293,7.824,6.62,0,3.367,0,0,0,0
1332.750326,7.195,7.419,8.112,0,3.892,0,0,0,0
2841.251775,7.952,7.131,7.131,0,3.296,0,0,0,0
9237.254607,9.131,8.517,8.006,0,3.178,0,0,0,0
1413.748547,7.254,8.112,7.755,0,3.091,0,0,0,0
1119.905964,7.021,5.991,6.908,0,3.526,0,0,0,0
661.8242253,6.495,6.908,9.21,0,4.043,0,0,0,0
109.9471725,4.7,5.704,7.601,0,4.111,0,0,0,0
609.7201004,6.413,6.397,6.908,0,3.664,0,0,0,0
960.0640491,6.867,7.601,8.7,0,3.401,0,0,0,0
4759.985971,8.468,8.517,7.824,0,3.611,1,1,0,0
1465.570697,7.29,7.313,8.517,0,3.912,1,1,0,0
919.6562878,6.824,7.863,6.908,0,3.178,1,0,0,0
11521.84411,9.352,8.854,10.597,0,3.689,1,1,0,0
2109.064999,7.654,8.006,9.498,0,4.078,1,1,0,0
2075.588486,7.638,8.355,10.127,0,3.85,1,1,0,0
1370.594683,7.223,8.294,8.517,0,3.714,1,0,1,0
1109.872031,7.012,6.908,7.313,0,3.401,1,0,0,0
759.7580292,6.633,6.908,9.21,0,4.22,1,0,0,0
8030.483365,8.991,7.889,6.502,0,3.638,1,1,0,0
12124.70032,9.403,9.21,10.309,0,3.85,1,1,0,0
6898.091099,8.839,7.131,9.616,0,3.761,1,1,0,0
5790.651003,8.664,8.006,10.127,0,3.951,1,1,0,0
6291.784413,8.747,8.923,10.463,0,3.761,1,1,0,0
4969.129734,8.511,8.7,9.903,0,3.829,1,1,0,0
4523.31314,8.417,9.547,9.903,0,3.912,1,1,0,0
8518.537925,9.05,8.854,10.309,0,3.738,1,1,0,0
1639.259673,7.402,8.594,9.903,0,4.094,1,1,0,0
4200.672876,8.343,8.294,9.21,0,3.97,1,1,0,0
2960.164144,7.993,7.919,9.21,0,3.871,1,1,0,0
1186.781144,7.079,6.908,10.82,0,3.738,1,1,0,0
5889.933581,8.681,9.21,8.006,0,4.143,1,1,0,0
1595.59183,7.375,7.313,8.517,0,3.497,1,1,0,0
2686.514748,7.896,8.112,8.112,0,3.807,1,1,0,0
1829.869625,7.512,7.824,10.532,0,3.761,1,1,0,0
3999.801445,8.294,7.195,6.502,0,4.007,1,1,0,0
1233.980004,7.118,7.741,10.127,0,3.526,1,1,0,0
2175.469974,7.685,9.473,8.517,0,3.497,1,1,0,0
3703.375574,8.217,8.161,9.21,0,3.466,1,1,0,0
899.6447831,6.802,7.419,8.112,0,3.912,1,1,0,0
3561.724084,8.178,9.105,10.127,0,3.584,1,1,0,0
5931.307757,8.688,8.987,10.414,0,4.174,1,1,0,0
1540.712114,7.34,8.086,8.923,0,3.892,1,1,0,0
1072.770679,6.978,7.352,8.294,0,3.989,1,1,0,0
2226.085632,7.708,8.517,10.414,0,4.007,1,1,0,0
6502.877173,8.78,8.987,9.77,0,3.807,1,1,0,0
860.0581472,6.757,6.908,7.824,0,4.143,1,1,0,0
3010.917113,8.01,9.616,7.824,0,3.497,1,1,0,0
1486.232985,7.304,8.112,8.805,0,3.829,1,1,0,0
288.0113819,5.663,5.521,8.23,0,4.043,1,1,0,0
5860.557415,8.676,9.306,10.127,0,4.025,1,1,0,0
1694.257719,7.435,7.131,9.433,0,4.094,1,1,0,0
1735.411778,7.459,7.026,9.21,0,4.159,1,1,0,0
695.7566789,6.545,6.908,5.521,0,3.611,1,1,0,0
1984.257366,7.593,8.7,10.127,0,3.664,1,1,0,0
2904.451967,7.974,8.389,8.294,0,3.761,1,1,0,0
721.9818499,6.582,7.824,9.433,0,4.078,1,1,0,0
8103.083928,9,8.112,9.721,0,3.932,1,1,0,0
9798.650979,9.19,9.21,10.127,0,3.807,1,1,0,0
3866.0941,8.26,6.908,10.127,0,4.025,1,1,0,0
1644.184836,7.405,6.908,9.616,0,3.951,1,1,0,0
3099.512128,8.039,7.824,7.824,0,4.078,1,1,0,0
2980.957987,8,8.161,9.384,0,3.871,1,1,0,0
3619.170012,8.194,8.294,9.616,0,4.043,1,1,0,0
2599.30661,7.863,8.517,5.704,0,3.892,1,1,0,0
639.7004373,6.461,6.502,9.903,0,3.951,1,1,0,0
2168.953344,7.682,8.517,9.105,0,3.664,1,1,0,0
2699.98096,7.901,7.919,9.21,0,3.892,1,1,0,0
1416.578874,7.256,8.112,9.816,0,3.912,1,1,0,0
2460.205101,7.808,8.412,8.987,0,4.078,1,1,0,0
6329.648599,8.753,8.923,8.517,0,4.143,1,1,0,0
929.8283507,6.835,8.822,7.601,0,4.025,1,1,0,0
3281.316524,8.096,8.517,10.127,0,3.784,1,1,0,0
1467.037001,7.291,7.601,8.112,0,4.078,1,1,0,0
2732.57591,7.913,8.945,9.21,0,3.932,1,1,0,0
530.0651905,6.273,6.215,8.517,0,4.111,1,1,0,0
3115.048497,8.044,9.21,8.517,0,3.932,1,1,0,0
3130.662743,8.049,8.476,6.215,0,3.892,1,1,0,0
545.1167544,6.301,9.903,10.309,0,4.111,1,1,0,0
1324.777765,7.189,7.824,9.21,0,3.97,1,1,0,0
1380.222504,7.23,8.161,9.616,0,4.007,1,1,0,0
324.0831115,5.781,6.215,8.7,0,3.989,1,1,0,0
5218.681172,8.56,8.923,10.532,0,3.932,1,1,0,0
15962.5399,9.678,9.616,9.616,0,3.85,1,0,1,0
5949.128398,8.691,8.23,9.616,0,4.007,1,0,1,0
7186.790736,8.88,7.601,7.313,0,3.871,1,0,1,0
6761.499744,8.819,8.7,9.21,0,3.892,1,0,1,0
3432.348501,8.141,8.006,7.09,0,3.85,1,0,1,0
28681.28218,10.264,9.798,9.616,0,3.912,1,0,1,0
12283.35042,9.416,9.105,11.513,0,3.871,1,0,1,0
