pexp,lnpexp,lnpincome,lnpproper,lnedu,lnage,mari_dum,region1,region2,pension
2250.707747,7.719,8.923,8.006,1.792,4.007,1,0,0,1
4359.008926,8.38,8.517,8.517,1.792,3.526,1,0,0,1
1119.905964,7.021,5.809,8.517,1.792,3.714,1,0,0,1
5541.386394,8.62,8.854,10.597,1.792,4.06,0,0,0,1
21290.15419,9.966,9.21,10.82,1.946,3.664,1,1,0,1
8217.324924,9.014,8.517,7.824,1.946,3.714,1,1,0,1
9302.142231,9.138,10.714,12.429,1.946,3.761,1,1,0,1
6039.037959,8.706,8.923,9.616,1.946,3.714,1,1,0,1
4670.4,8.449,7.824,8.517,1.946,3.714,1,1,0,1
2573.443077,7.853,8.006,8.923,1.946,3.434,1,1,0,1
2705.386325,7.903,8.805,9.903,1.946,3.807,1,1,0,1
1405.291453,7.248,8.517,7.313,1.946,3.296,1,1,0,1
6627.613078,8.799,8.613,10.127,1.946,3.689,1,0,1,1
1740.62583,7.462,8.006,9.21,1.946,4.043,1,0,1,1
3007.907701,8.009,8.517,10.373,1.946,3.932,1,0,1,1
991.2829369,6.899,7.313,8.517,1.946,3.401,1,0,1,1
3819.97822,8.248,8.7,10.309,1.946,3.871,1,0,1,1
2689.202607,7.897,8.23,9.433,1.946,4.06,1,0,1,1
4698.506635,8.455,8.7,7.313,1.946,4.127,1,0,0,1
3080.970735,8.033,7.09,9.798,1.946,4.22,0,1,0,1
6802.190693,8.825,11.002,6.215,2.079,3.466,0,1,0,1
8299.910412,9.024,10.309,12.206,2.079,3.091,0,0,1,1
18958.3548,9.85,8.306,9.283,2.079,3.714,1,1,0,1
14143.35243,9.557,9.616,10.82,2.079,3.951,1,1,0,1
13697.92992,9.525,9.21,11.983,2.079,3.892,1,1,0,1
3744.337583,8.228,9.632,10.532,2.079,3.526,1,1,0,1
5146.128688,8.546,8.517,9.903,2.079,3.829,1,1,0,1
7510.069507,8.924,9.433,10.597,2.079,3.714,1,1,0,1
4573.344252,8.428,9.616,9.616,2.079,3.738,1,1,0,1
2117.518154,7.658,8.112,8.805,2.079,3.466,1,1,0,1
3755.587462,8.231,8.923,9.903,2.079,3.332,1,1,0,1
2020.297385,7.611,7.824,9.903,2.079,3.638,1,1,0,1
6829.453946,8.829,9.21,10.597,2.079,3.434,1,1,0,1
4788.631738,8.474,9.903,11.107,2.079,3.738,1,1,0,1
20272.08306,9.917,9.77,7.131,2.079,3.664,1,0,1,1
10614.75189,9.27,9.306,7.131,2.079,3.932,1,0,1,1
22292.37565,10.012,10.419,11.225,2.079,3.611,1,0,1,1
10394.16635,9.249,9.071,7.131,2.079,3.434,1,0,1,1
9072.471521,9.113,8.648,9.433,2.079,3.714,1,0,1,1
6039.037959,8.706,8.854,8.517,2.079,3.638,1,0,1,1
5808.04904,8.667,8.7,9.21,2.079,3.689,1,0,1,1
9897.129059,9.2,9.21,9.21,2.079,3.689,1,0,1,1
1779.343936,7.484,8.613,9.616,2.079,3.638,1,0,1,1
1870.57285,7.534,6.908,9.616,2.079,3.611,1,0,1,1
7593.136302,8.935,9.433,11.513,2.079,3.332,1,0,1,1
10657.29593,9.274,7.824,8.517,2.079,4.043,1,0,1,1
3099.512128,8.039,8.517,10.597,2.079,3.829,1,0,1,1
5377.613675,8.59,8.613,7.601,2.079,3.401,1,0,1,1
3740.595117,8.227,8.412,9.77,2.079,3.689,1,0,1,1
6247.895712,8.74,9.393,8.613,2.079,3.135,1,0,0,1
4994.037601,8.516,8.294,10.414,2.079,3.664,1,0,0,1
3294.468075,8.1,9.012,10.532,2.079,3.664,1,0,0,1
6700.919267,8.81,8.923,10.309,2.079,3.638,1,0,0,1
1719.863145,7.45,7.467,10.127,2.079,3.664,1,0,0,1
2340.219483,7.758,9.616,9.616,2.079,3.526,1,0,0,1
1565.561775,7.356,7.313,7.824,2.079,3.951,1,0,0,1
2818.612439,7.944,7.601,9.616,2.079,4.111,1,0,0,1
940.112924,6.846,8.294,10.309,2.079,3.951,1,0,0,1
755.2131294,6.627,8.923,10.021,2.197,2.89,0,1,0,1
925.1908125,6.83,7.824,10.127,2.197,2.833,0,1,0,1
2266.517973,7.726,9.275,9.721,2.197,2.944,0,0,1,1
11731.11509,9.37,9.433,10.82,2.197,3.738,1,1,0,1
7966.495789,8.983,9.21,11.107,2.197,3.401,1,1,0,1
8561.237274,9.055,9.243,10.621,2.197,3.761,1,1,0,1
23908.75527,10.082,10.8,12.766,2.197,3.892,1,1,0,1
7361.360167,8.904,8.7,10.463,2.197,3.664,1,1,0,1
32695.73761,10.395,11.019,12.429,2.197,3.526,1,1,0,1
2998.8975,8.006,8.006,8.517,2.197,3.466,1,1,0,1
6069.308763,8.711,9.938,10.222,2.197,4.205,1,1,0,1
15599.59139,9.655,9.21,12.429,2.197,3.611,1,1,0,1
2239.482295,7.714,7.824,9.903,2.197,3.466,1,1,0,1
3858.369639,8.258,10.597,11.156,2.197,3.555,1,1,0,1
6069.308763,8.711,9.68,11.513,2.197,4.078,1,1,0,1
1510.20397,7.32,8.006,9.433,2.197,4.043,1,1,0,1
1350.189187,7.208,10.82,9.433,2.197,3.584,1,1,0,1
4150.566044,8.331,6.397,10.021,2.197,3.912,1,1,0,1
2829.909468,7.948,8.517,11.513,2.197,3.912,1,1,0,1
2259.728608,7.723,8.294,8.517,2.197,4.205,1,1,0,1
